SALE,YEAR,STYLE,ARTNO,ARTISTNO,INDATE,MATERIAL,SIZE,TOPIC,PRICE
,1982,6,1,17,1988/10/31,1,4F,抽象,16000
,1982,6,2,17,1988/10/31,3,,神話,10000
,1984,6,901,38,1988/10/31,1,10F,雛8-103188-3,20000
,1984,6,902,38,1988/10/31,1,10F,醉貓38-103188-4,20000
,1984,6,903,38,1988/10/31,1,10F,漫遊38-103188-5,20000
,,6,6,38,1988/10/31,1,10F,雛,20000
,1978,6,901,43,1988/10/31,2,38*52cm,抽象,100000
,,6,901,37,1988/10/31,3,,蔬果,25000
,,6,9,44,1988/10/31,2,,,15000
,,6,913,44,1988/10/31,3,,歸,25000
,,6,914,44,1988/10/31,2,,,70000
,1988,6,1,18,1989/1/3,3,,天仙  11/50,2700
,1988,6,2,18,1989/1/3,3,,天香  10/30,2700
,1988,6,3,18,1989/1/3,3,,晨光  11/50,2700
,1988,6,901,18,1989/1/3,3,,春祥18-010389-4,6500
,1981,6,901,36,1988/10/31,3,,休士頓42/120,32000
,,6,902,36,1988/10/31,3,,A.P,32000
,1981,6,903,36,1988/10/31,3,,9/30,40000
,1981,6,904,36,1988/10/31,3,,時代廣場 A.P,20000
,,6,901,40,1988/10/31,1,,,60000
,,,902,40,1988/10/31,1,,,40000
,,動物,901,46,1988/10/31,水墨,,魚,6000
,1979,,903,22,1988/10/31,3,,水鄉 6/50,30000
,,,902,19,1988/10/31,2,,荷,80000
,,,903,19,1988/10/31,2,長3,荷,25000
,,,904,19,1988/10/31,,長3,荷,25000
,,4,901,35,1988/10/31,3,,日光浴,40000
,1956,6,908,33,1988/10/31,石版,37*67cm,獨幅版畫,1200000
,1977,,901,10,1988/10/31,3,,蘭,2000
,1977,,902,10,1988/10/31,3,,菊,2000
,1977,,903,10,1988/10/31,3,,梅,2000
,1977,,904,10,1988/10/31,3,,青銅時代,2000
,1977,,905,10,1988/10/31,3,,十二生肖圖,2000
,,,901,34,1988/10/31,1,40F,,0
,,,69,17,1988/10/31,1,6F,,18000
,,,70,17,1988/10/31,1,20F,,60000
,,,71,17,1988/10/31,3,,冬至,10000
,,,902,24,1988/10/31,皮雕,,L0045,36000
,,動物,77,64,1988/10/31,2,,鴨,30000
,1987,1,901,50,1988/10/31,2,4K,田園,80000
,,,901,39,1988/10/31,1,,,40000
,1977,,903,9,1988/10/31,3,,紅髮女 A.P,35000
,1977,,904,9,1988/10/31,3,,黑女人 A.P,40000
,1977,,906,9,1988/10/31,3,,藍女人 A.P,40000
,1977,,907,9,1988/10/31,3,,紅唇 A.P,40000
,1983,,909,9,1988/10/31,3,,EPO1 139/200,40000
,,,911,9,1988/10/31,3,,,40000
,,,914,9,1988/10/31,3,,BW A.P,15000
,,,915,9,1988/10/31,3,,BW A.P,15000
,,,916,9,1988/10/31,3,,BW A.P,15000
,,,917,9,1988/10/31,3,,BW A.P,15000
,,,918,9,1988/10/31,3,,BW A.P,15000
,,,921,9,1988/10/31,3,,BW A.P,15000
,,,919,9,1988/10/31,3,,BW A.P,15000
,,,920,9,1988/10/31,3,,BW A.P,15000
,,,922,9,1988/10/31,3,,BW A.P,15000
,,,923,9,1988/10/31,3,,BW 60/100,15000
,,,924,9,1988/10/31,3,,BW 60/100,15000
,,,925,9,1988/10/31,3,,BW 60/100,15000
,,,926,9,1988/10/31,3,,BW 60/100,15000
,1984,,901,47,1988/10/31,1,10P,,30000
,,,901,28,1988/10/31,1,20F,雙木偶,50000
,,,902,28,1988/10/31,1,30F,四個玩偶,60000
,1985,,901,48,1988/10/31,紙漿,,繩  A.P,6000
,1985,,902,48,1988/10/31,紙漿,,繁結 A.P,6000
,,,903,48,1988/10/31,紙漿,,霓虹.蝶舞,10000
,,,901,27,1988/10/31,1,3F,花,9000
,,,902,27,1988/10/31,1,8F,,24000
,,5,901,52,1988/10/31,攝影,,花與女,20000
,,4,902,52,1988/10/31,攝影,,花,20000
,,,903,27,1988/10/31,1,3F,,9000
,,,901,66,1988/10/31,壓克力,,罪與罰,9000
,1971,,901,32,1988/10/31,3,,日夜 3/40,18000
,,4,903,52,1988/10/31,攝影,,裸女,12000
,,,927,9,1988/10/31,3,,BW 60/100,15000
,,,928,9,1988/10/31,3,,BW 60/100,15000
,,,929,9,1988/10/31,3,,BW 60/100,15000
,,,930,9,1988/10/31,3,,BW 60/100,15000
,,6,931,9,1988/10/31,石3,,WT 8,12500
,,,932,9,1988/10/31,石3,,女人與魚 WT17,4500
,,,933,9,1988/10/31,石3,,中國藍 WT20,4500
,,,934,9,1988/10/31,石3,,女人與花 WT22,4500
,,,935,9,1988/10/31,石3,,女人與花 WT22,4500
,,,905,19,1988/10/31,2,長3K,荷花,25000
,,5,901,55,1988/10/31,1,10F,船,40000
,,1,901,31,1988/10/31,1,12F,紅厝,30000
,,6,146,61,1988/10/31,1,12P,景,24000
,,6,147,61,1988/10/31,1,12P,山之頌-6,24000
,,6,148,61,1988/10/31,1,15F,山之頌-7,30000
,,6,902,35,1988/10/31,限量印刷,2K,大胸部,15000
,,6,936,9,1988/10/31,2,,女人與貓,100000
,,6,901,51,1988/10/31,1,,抽象,6000
,,6,902,51,1988/10/31,1,,抽象,6000
,,6,903,51,1988/10/31,1,,抽象,6000
,,6,937,9,1988/10/31,1,40F,我可以親妳嬤,400000
,1974,6,905,36,1988/10/31,3,,24/45,40000
,,6,938,9,1988/10/31,2,,蜻蜓,15000
,,6,902,54,1988/10/31,1,,抽象,15000
,1976,6,174,17,1988/10/31,3,,落日  A.P,6000
,1977,,939,9,1988/10/31,,,大版畫 1/13,150000
,,,907,19,1988/10/31,,,木棉花,70000
,,3,901,65,1988/10/31,2,,小丑,5000
,,,189,7,1988/10/31,2,10*14,,8000
,,,901,7,1988/10/31,2,10*14,7-103188-193,8000
,,1,901,70,1988/10/31,2,,石碇,20000
,,1,902,70,1988/10/31,2,,市郊,20000
,,,198,60,1988/10/31,2,,,12000
,,6,902,61,1988/10/31,1,1F,抽象(61-103188-202),1800
,,6,903,61,1988/10/31,1,2F,抽象(61-103188-203),2800
,,6,204,61,1988/10/31,1,2F,抽象,2800
,,6,205,61,1988/10/31,1,2F,抽象,2800
,1980,,904,11,1988/10/31,3,,夜奔 62/175,20000
,,,913,1,1988/10/31,淡彩,24*16,,40000
,1988,1,915,1,1988/10/31,淡彩,24*16,HAKATA,40000
,,,917,1,1988/10/31,淡彩,24*16,,20000
,,,902,7,1988/10/31,2,10*14,7-103188-226,8000
,,6,903,16,1988/10/28,新素材,8*8,抽象16-102888-36,18000
,,5,902,25,1988/10/31,1,4F,蘭花,20000
,,5,901,20,1988/10/31,2,細長,荷花20-103188-239,24000
,,6,902,16,1988/10/28,新素材,8*8,抽象16-102888-35,18000
,,6,901,16,1988/10/28,新素材,8*8,抽象16-102888-34,18000
,1980,6,903,11,1988/10/31,3,,月下A.P,10000
,,6,901,71,1988/10/31,1,30F,,30000
,,,904,27,1988/10/31,1,3F,花,9000
,1983,,906,36,1988/10/31,3,,77/100,32000
,,,901,74,1988/10/31,1,100F,沉靜的藍,600000
,,,901,73,1988/10/31,1,,,10000
,,,902,42,1988/10/31,4,,雕塑,50000
,1981,6,901,11,1988/10/31,3,,雙姝 32/175,20000
,1980,,902,11,1988/10/31,3,,檳榔山的夏夜 50/175,24000
,,1,901,84,1988/10/31,2,,江邊,9000
